UNK,
SOL,iPAU_Service
SSDI,iPAU_Service/ClientProjects
SSDI,iPAU_Service/ClientProjects/am
SSDI,iPAU_Service/ClientProjects/amuilibrary
SOL,iPAU_Service/ClientProjects/DynamicLocalization
EXT,iPAU_Service/ClientProjects/DynamicLocalization/apache-ant-1.10.5-bin
SSDI,iPAU_Service/ClientProjects/FSS
SSDI,iPAU_Service/ClientProjects/fssuilibrary
SSDI,iPAU_Service/ClientProjects/libs
SSDI,iPAU_Service/ClientProjects/MessageFiles
SSDI,iPAU_Service/ClientProjects/ROOT
SSDI,iPAU_Service/ClientProjects/SecDB
SSDI,iPAU_Service/ClientProjects/secdbuilibrary
SSDI,iPAU_Service/ClientProjects/WebUI
SSDI,iPAU_Service/ClientProjects/webuilibrary
SSL,iPAU_Service/InstallProjects
SSL,iPAU_Service/InstallProjects/SupportTools
SSL,iPAU_Service/InstallProjects/SupportTools/ControlPanel
SSL,iPAU_Service/InstallProjects/SupportTools/CustomErrorReportValve
SSL,iPAU_Service/InstallProjects/SupportTools/CustomSecurityFilter
SSL,iPAU_Service/InstallProjects/SupportTools/DBControl
SSDI,iPAU_Service/InstallProjects/SupportTools/DBVup
SSL,iPAU_Service/InstallProjects/SupportTools/SRDMBackupCmdTool
SSDI,iPAU_Service/InstallProjects/SupportTools/SSO
SSDI,iPAU_Service/InstallProjects/SupportTools/SSO/ExternalIdP
SSDI,iPAU_Service/InstallProjects/SupportTools/SSO/SSOSPManager
SSDI,iPAU_Service/InstallProjects/SupportTools/SSOControlPanel
SSL,iPAU_Service/IoTProjects
SOL,iPAU_Service/LocalizeResources
SSL,iPAU_Service/RspjProjects
SSL,iPAU_Service/RspjProjects/ACL
SSL,iPAU_Service/RspjProjects/ACLCore
SSL,iPAU_Service/RspjProjects/APPRSP
SSL,iPAU_Service/RspjProjects/build
SSL,iPAU_Service/RspjProjects/CustomFile
SSL,iPAU_Service/RspjProjects/RSP
SSL,iPAU_Service/RspjProjects/RSPJCommon
SSL,iPAU_Service/RspjProjects/RSPJCore
SSL,iPAU_Service/RspjProjects/RSPJManager
SSL,iPAU_Service/RspjProjects/UpdateRsp
SSL,iPAU_Service/RspjProjects/VNCConverter
SSL,iPAU_Service/RspjProjects/VNCRSP
SSDI,iPAU_Service/RspjProjects/VncUI
SOL,iPAU_Service/ServerProjects
SSL,iPAU_Service/ServerProjects/build
SSL,iPAU_Service/ServerProjects/CloudPauAgentManager
SSL,iPAU_Service/ServerProjects/commonService
SSL,iPAU_Service/ServerProjects/ddManager
SSDI,iPAU_Service/ServerProjects/driverDownloadManager
SSDI,iPAU_Service/ServerProjects/FssManager
SSDI,iPAU_Service/ServerProjects/FssServer
SSL,iPAU_Service/ServerProjects/IdpManager
EXT,iPAU_Service/ServerProjects/libs
SSDI,iPAU_Service/ServerProjects/mailSender
SSL,iPAU_Service/ServerProjects/processPrioritySetter
SSL,iPAU_Service/ServerProjects/srdm-application-common
SSL,iPAU_Service/ServerProjects/SrdmCloudCommonService
SSL,iPAU_Service/ServerProjects/SrdmCloudExternalService
SSL,iPAU_Service/ServerProjects/SrdmCloudScheduleService
SSL,iPAU_Service/ServerProjects/srdm-common
SSL,iPAU_Service/ServerProjects/srdm-common-new
SSL,iPAU_Service/ServerProjects/srdm-common-report
SSDI,iPAU_Service/ServerProjects/srdm-db-common2
SSDI,iPAU_Service/ServerProjects/srdmlocale
SSDI,iPAU_Service/ServerProjects/srdm-mongoDB-wrapper
SSL,iPAU_Service/ServerProjects/SrdmShared
SSL,iPAU_Service/ServerProjects/StatusReport
SSDI,iPAU_Service/ServerProjects/StatusReportFilter
SSDI,iPAU_Service/ServerProjects/tcoManager
SSL,iPAU_Service/ServerProjects/tokenManager
SSL,iPAU_Service/ServerProjects/UnitTest
SSDI,iPAU_Service/SRDMUtilities
SSL,iPAU_Service/UniversalAgentProjects
SOL,test
SSL,test/SBC
SSDI,test/SSDI
